step,bucket,reason,segment_chars
19,traceback_in_exit0,traceback_only_no_test_failure,288
19,traceback_in_exit0,traceback_only_no_test_failure,144
19,traceback_in_exit0,traceback_only_no_test_failure,573
19,traceback_in_exit0,traceback_only_no_test_failure,948
19,traceback_in_exit0,traceback_only_no_test_failure,565
20,traceback_in_exit0,traceback_only_no_test_failure,371
20,traceback_in_exit0,traceback_only_no_test_failure,180
20,traceback_in_exit0,traceback_only_no_test_failure,1217
20,traceback_in_exit0,traceback_only_no_test_failure,137
20,traceback_in_exit0,traceback_only_no_test_failure,119
20,traceback_in_exit0,traceback_only_no_test_failure,129
20,traceback_in_exit0,traceback_only_no_test_failure,550
20,traceback_in_exit0,traceback_only_no_test_failure,139
20,traceback_in_exit0,traceback_only_no_test_failure,578
20,traceback_in_exit0,traceback_only_no_test_failure,171
20,traceback_in_exit0,traceback_only_no_test_failure,147
20,traceback_in_exit0,traceback_only_no_test_failure,147
20,traceback_in_exit0,traceback_only_no_test_failure,578
20,traceback_in_exit0,traceback_only_no_test_failure,318
20,traceback_in_exit0,traceback_only_no_test_failure,597
20,traceback_in_exit0,traceback_only_no_test_failure,3972
20,traceback_in_exit0,traceback_only_no_test_failure,1218
20,traceback_in_exit0,traceback_only_no_test_failure,163
20,traceback_in_exit0,traceback_only_no_test_failure,158
20,traceback_in_exit0,traceback_only_no_test_failure,158
20,traceback_in_exit0,traceback_only_no_test_failure,161
20,traceback_in_exit0,traceback_only_no_test_failure,158
20,traceback_in_exit0,traceback_only_no_test_failure,1537
20,traceback_in_exit0,traceback_only_no_test_failure,319
20,traceback_in_exit0,traceback_only_no_test_failure,158
20,traceback_in_exit0,traceback_only_no_test_failure,319
20,traceback_in_exit0,traceback_only_no_test_failure,317
20,traceback_in_exit0,traceback_only_no_test_failure,1279
20,traceback_in_exit0,traceback_only_no_test_failure,634
21,traceback_in_exit0,traceback_only_no_test_failure,1171
21,traceback_in_exit0,traceback_only_no_test_failure,1198
21,traceback_in_exit0,traceback_only_no_test_failure,940
21,traceback_in_exit0,traceback_only_no_test_failure,1424
21,traceback_in_exit0,traceback_only_no_test_failure,860
21,traceback_in_exit0,traceback_only_no_test_failure,1242
21,traceback_in_exit0,traceback_only_no_test_failure,513
21,traceback_in_exit0,traceback_only_no_test_failure,543
21,traceback_in_exit0,traceback_only_no_test_failure,1405
21,traceback_in_exit0,traceback_only_no_test_failure,529
21,traceback_in_exit0,traceback_only_no_test_failure,513
22,traceback_in_exit0,traceback_only_no_test_failure,790
22,traceback_in_exit0,traceback_only_no_test_failure,136
22,traceback_in_exit0,traceback_only_no_test_failure,273
23,traceback_in_exit0,traceback_only_no_test_failure,140
23,traceback_in_exit0,traceback_only_no_test_failure,140
23,traceback_in_exit0,traceback_only_no_test_failure,663
23,traceback_in_exit0,traceback_only_no_test_failure,144
23,traceback_in_exit0,traceback_only_no_test_failure,323
23,traceback_in_exit0,traceback_only_no_test_failure,239
23,traceback_in_exit0,traceback_only_no_test_failure,153
23,traceback_in_exit0,traceback_only_no_test_failure,126
23,traceback_in_exit0,traceback_only_no_test_failure,142
24,traceback_in_exit0,traceback_only_no_test_failure,145
24,traceback_in_exit0,traceback_only_no_test_failure,145
24,traceback_in_exit0,traceback_only_no_test_failure,155
24,traceback_in_exit0,traceback_only_no_test_failure,162
24,traceback_in_exit0,traceback_only_no_test_failure,1349
24,traceback_in_exit0,traceback_only_no_test_failure,145
24,traceback_in_exit0,traceback_only_no_test_failure,153
24,traceback_in_exit0,traceback_only_no_test_failure,138
24,traceback_in_exit0,traceback_only_no_test_failure,2358
24,traceback_in_exit0,traceback_only_no_test_failure,139
25,traceback_in_exit0,traceback_only_no_test_failure,2336
25,tests_failed_in_exit0,unexplained_exit0_with_test_failure,1045
25,tests_failed_in_exit0,later_pass_supersedes_in_same_segment,290
25,tests_failed_in_exit0,unexplained_exit0_with_test_failure,841
25,tests_failed_in_exit0,unexplained_exit0_with_test_failure,1152
25,tests_failed_in_exit0,unexplained_exit0_with_test_failure,15
25,tests_failed_in_exit0,unexplained_exit0_with_test_failure,660
25,traceback_in_exit0,traceback_only_no_test_failure,795
25,traceback_in_exit0,traceback_only_no_test_failure,498
25,traceback_in_exit0,traceback_only_no_test_failure,457
25,traceback_in_exit0,traceback_only_no_test_failure,251
25,traceback_in_exit0,traceback_only_no_test_failure,229
25,traceback_in_exit0,traceback_only_no_test_failure,152
25,traceback_in_exit0,traceback_only_no_test_failure,489
25,traceback_in_exit0,traceback_only_no_test_failure,259
25,traceback_in_exit0,traceback_only_no_test_failure,1093
25,traceback_in_exit0,traceback_only_no_test_failure,119
25,traceback_in_exit0,traceback_only_no_test_failure,140
25,traceback_in_exit0,traceback_only_no_test_failure,264
25,traceback_in_exit0,traceback_only_no_test_failure,221
25,traceback_in_exit0,traceback_only_no_test_failure,597
25,traceback_in_exit0,traceback_only_no_test_failure,260
25,traceback_in_exit0,traceback_only_no_test_failure,258
25,traceback_in_exit0,traceback_only_no_test_failure,418
25,traceback_in_exit0,traceback_only_no_test_failure,265
25,traceback_in_exit0,traceback_only_no_test_failure,255
25,traceback_in_exit0,traceback_only_no_test_failure,569
25,traceback_in_exit0,traceback_only_no_test_failure,355
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,355
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,445
25,traceback_in_exit0,traceback_only_no_test_failure,355
25,traceback_in_exit0,traceback_only_no_test_failure,355
25,traceback_in_exit0,traceback_only_no_test_failure,355
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,347
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,368
25,traceback_in_exit0,traceback_only_no_test_failure,366
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,381
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,355
25,traceback_in_exit0,traceback_only_no_test_failure,532
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,347
25,traceback_in_exit0,traceback_only_no_test_failure,380
25,traceback_in_exit0,traceback_only_no_test_failure,384
25,traceback_in_exit0,traceback_only_no_test_failure,176
26,traceback_in_exit0,traceback_only_no_test_failure,503
26,traceback_in_exit0,traceback_only_no_test_failure,287
26,traceback_in_exit0,traceback_only_no_test_failure,314
26,traceback_in_exit0,traceback_only_no_test_failure,119
26,traceback_in_exit0,traceback_only_no_test_failure,238
26,traceback_in_exit0,traceback_only_no_test_failure,120
26,traceback_in_exit0,traceback_only_no_test_failure,4134
26,traceback_in_exit0,traceback_only_no_test_failure,10542
26,traceback_in_exit0,traceback_only_no_test_failure,156
26,traceback_in_exit0,traceback_only_no_test_failure,137
26,traceback_in_exit0,traceback_only_no_test_failure,299
26,traceback_in_exit0,traceback_only_no_test_failure,1143
