global_step,acceptance_step,scope,prompt_idx,n_samples,reward_mean,reward_std,reward_min,reward_max,n_zero,degenerate
45,45,step,,256,0.824219,0.380634,0.0,1.0,45,0
46,46,group,0,32,0.65625,0.474959,0.0,1.0,11,0
46,46,group,1,32,0.96875,0.173993,0.0,1.0,1,0
46,46,group,2,32,0.8125,0.390312,0.0,1.0,6,0
46,46,group,3,32,0.96875,0.173993,0.0,1.0,1,0
46,46,group,4,32,0.125,0.330719,0.0,1.0,28,0
46,46,group,5,32,0.96875,0.173993,0.0,1.0,1,0
46,46,group,6,32,0.03125,0.173993,0.0,1.0,31,0
46,46,group,7,32,0.9375,0.242061,0.0,1.0,2,0
46,46,step,,256,0.683594,0.465073,0.0,1.0,81,0
47,47,group,0,32,0.15625,0.363092,0.0,1.0,27,0
47,47,group,1,32,0.875,0.330719,0.0,1.0,4,0
47,47,group,2,32,0.875,0.330719,0.0,1.0,4,0
47,47,group,3,32,0.96875,0.173993,0.0,1.0,1,0
47,47,group,4,32,0.09375,0.291481,0.0,1.0,29,0
47,47,group,5,32,0.84375,0.363092,0.0,1.0,5,0
47,47,group,6,32,0.9375,0.242061,0.0,1.0,2,0
47,47,group,7,32,0.96875,0.173993,0.0,1.0,1,0
47,47,step,,256,0.714844,0.451489,0.0,1.0,73,0
48,48,group,0,32,0.90625,0.291481,0.0,1.0,3,0
48,48,group,1,32,0.3125,0.463512,0.0,1.0,22,0
48,48,group,2,32,0.28125,0.449609,0.0,1.0,23,0
48,48,group,3,32,0.5625,0.496078,0.0,1.0,14,0
48,48,group,4,32,0.03125,0.173993,0.0,1.0,31,0
48,48,group,5,32,0.9375,0.242061,0.0,1.0,2,0
48,48,group,6,32,0.96875,0.173993,0.0,1.0,1,0
48,48,group,7,32,0.34375,0.474959,0.0,1.0,21,0
48,48,step,,256,0.542969,0.49815,0.0,1.0,117,0
